sent|ortho|SAMPA
shd001|HAY GEMAS de GRAN VALOR en la TIENDA|a i x e m a s d e g r a n b a l o r e n l a t i e n d a
shd002|TIENEN un NUEVO PUERTO para BOTAR BARCOS|t i e n e n u n n u e b o p u e r t o p a r a b o t a r b a r k o s
shd003|Para HACER HIELO, ECHA MÁS AGUA|p a r a a T e r jj e l o e tS a m a s a g u a
shd004|MANDÓ la POSTAL en un SOBRE de PAPEL GRUESO|m a n d o l a p o s t a l e n u n s o b r e d e p a p e l g r u e s o
shd005|Se SINTIÓ FELIZ cuando VIO LLEGAR el TREN|s e s i n t i o f e l i T k u a n d o b i o L e g a r e l t r e n
shd006|PLANTAN un ÁRBOL en el BOSQUE TODOS los AÑOS|p l a n t a n u n a r b o l e n e l b o s k e t o d o s l o s a J o s
shd007|El CASCO VIEJO de la CIUDAD es MUY AMPLIO|e l k a s k o b i e x o d e l a T i u d a d e s m u i a m p l i o
shd008|COSIÓ la CAPA ROTA con MUCHA FUERZA|k o s i o l a k a p a rr o t a k o n m u tS a f u e r T a
shd009|NO LLEVES JERSEY en un DÍA como ÉSTE|n o L e b e s x e r s e i e n u n d i a k o m o e s t e
shd010|El RELOJ de la PLAZA MARCÓ las CUATRO de la TARDE|e l rr e l o x d e l a p l a T a m a r k o l a s k u a t r o d e l a t a r d e
shd011|El HOMBRE TIENE los BRAZOS MUY FUERTES|e l o m b r e t i e n e l o s b r a T o s m u i f u e r t e s
shd012|FALTAN MUCHAS LATAS en las DOS BALDAS|f a l t a n m u tS a s l a t a s e n l a s d o s b a l d a s
shd013|SACIA tu SED, y LUEGO COME la TARTA|s a T i a t u s e d i l u e g o k o m e l a t a r t a
shd014|La MULA CORRIÓ NOCHE y DÍA sin PARAR|l a m u l a k o rr i o n o tS e i d i a s i n p a r a r
shd015|El PAPEL ROJO DIO un POCO de COLOR|e l p a p e l rr o x o d i o u n p o k o d e k o l o r
shd016|El RATÓN VIO TROZOS de QUESO en el SUELO|e l rr a t o n b i o t r o T o s d e k e s o e n e l s u e l o
shd017|Las VACAS COMEN HIERBA TIERNA y HENO|l a s b a k a s k o m e n jj e r b a t i e r n a i e n o
shd018|Los OJOS de la CHICA TIENEN un GRAN BRILLO|l o s o x o s d e l a tS i k a t i e n e n u n g r a n b r i L o
shd019|La VIEJA SARTÉN TIENE GRASA FRÍA|l a b i e x a s a r t e n t i e n e g r a s a f r i a
shd020|Se PUEDE LLEVAR la GORRA PUESTA en la CENA|s e p u e d e L e b a r l a g o rr a p u e s t a e n l a T e n a
shd021|LLENE el FRASCO de CRISTAL con COLA DENSA|L e n e e l f r a s k o d e k r i s t a l k o n k o l a d e n s a
shd022|Se NOTA un BUEN OLOR a MAR en el AIRE|s e n o t a u n b u e n o l o r a m a r e n e l a i r e
shd023|No es FÁCIL TENER una TIERRA FÉRTIL sin AGUA|n o e s f a T i l t e n e r u n a t i e rr a f e r t i l s i n a g u a
shd024|ESTOS COCHES BRILLAN como si FUERAN NUEVOS|e s t o s k o tS e s b r i L a n k o m o s i f u e r a n n u e b o s
shd025|El PEZ se MOVIÓ y TORCIÓ en la CAÑA de PESCAR|e l p e T s e m o b i o i t o r T i o e n l a k a J a d e p e s k a r
shd026|Un YATE ENTRÓ en el GRAN PUERTO de la CIUDAD|u n jj a t e e n t r o e n e l g r a n p u e r t o d e l a T i u d a d
shd027|PEGUÉ los BROCHES a CADA LADO de la BLUSA|p e g e l o s b r o tS e s a k a d a l a d o d e l a b l u s a
shd028|DIJO que ÉSTA es la MEJOR MARCA de MAÍZ|d i x o k e e s t a e s l a m e x o r m a r k a d e m a i T
shd029|Una NUBE de POLVO PICA MUCHO en los OJOS|u n a n u b e d e p o l b o p i k a m u tS o e n l o s o x o s
shd030|El BALÓN ROJO ESTÁ en MANOS del NIÑO|e l b a l o n rr o x o e s t a e n m a n o s d e l n i J o
shd031|El DUQUE SALIÓ del PARQUE en un COCHE NEGRO|e l d u k e s a l i o d e l p a r k e e n u n k o tS e n e g r o
shd032|La MUJER TRAJO CAMBIOS de la OTRA TIENDA|l a m u x e r t r a x o k a m b i o s d e l a o t r a t i e n d a
shd033|COGIÓ una ROSA BLANCA sin HOJAS ni OLOR|k o x i o u n a rr o s a b l a n k a s i n o x a s n i o l o r
shd034|El AGUA del POZO es FUENTE de BUENA SALUD|e l a g u a d e l p o T o e s f u e n t e d e b u e n a s a l u d
shd035|El COLOR GRIS ESTÁ MUY de MODA|e l k o l o r g r i s e s t a m u i d e m o d a
shd036|SABE LLEVAR la ROPA con MUCHO AIRE|s a b e L e b a r l a rr o p a k o n m u tS o a i r e
shd037|Las BOTAS de ANTE y PIEL TIENEN TACÓN|l a s b o t a s d e a n t e i p i e l t i e n e n t a k o n
shd038|Los BARRIOS se UNEN en la PARTE CENTRAL de la CIUDAD|l o s b a rr i o s s e u n e n e n l a p a r t e T e n t r a l d e l a T i u d a d
shd039|QUISO PONER GRIFOS de PLATA en los BAÑOS|k i s o p o n e r g r i f o s d e p l a t a e n l o s b a J o s
shd040|LLEVA el CUBO a la PARED para REGAR las FLORES|L e b a e l k u b o a l a p a r e d p a r a rr e g a r l a s f l o r e s
shd041|La CREMA LIMPIA el LATÓN MÁS SUCIO|l a k r e m a l i m p i a e l l a t o n m a s s u T i o
shd042|La JOVEN ERA la MÁS BELLA para el CHICO|l a x o b e n e r a l a m a s b e L a p a r a e l tS i k o
shd043|Es FÁCIL VENDER MEDIAS de TALLA GRANDE|e s f a T i l b e n d e r m e d i a s d e t a L a g r a n d e
shd044|RUEGUEN al FISCAL que PONGA FIN al JUICIO|rr u e g e n a l f i s k a l k e p o n g a f i n a l x u i T i o
shd045|Los GATOS y los PERROS se ODIAN UNOS a OTROS|l o s g a t o s i l o s p e rr o s s e o d i a n u n o s a o t r o s
shd046|COMPRÓ una CESTA LLENA de FRUTA para su MADRE|k o m p r o u n a T e s t a L e n a d e f r u t a p a r a s u m a d r e
shd047|La SIERRA CORTA y PODA los TRONCOS para LEÑA|l a s i e rr a k o r t a i p o d a l o s t r o n k o s p a r a l e J a
shd048|El POLVO ENTRA por el UMBRAL de la VIEJA CASA|e l p o l b o e n t r a p o r e l u m b r a l d e l a b i e x a k a s a
shd049|El BANCO que PEGA a la PARED ESTÁ ROTO|e l b a n k o k e p e g a a l a p a r e d e s t a rr o t o
shd050|El HIELO del CUBO se PUSO VERDE por el LICOR|e l jj e l o d e l k u b o s e p u s o b e r d e p o r e l l i k o r
shd051|DEBES COSER la FALDA ANTES de SALIR|d e b e s k o s e r l a f a l d a a n t e s d e s a l i r
shd052|Se USA una SIERRA RADIAL para CORTAR TABLAS|s e u s a u n a s i e rr a rr a d i a l p a r a k o r t a r t a b l a s
shd053|La CHICA QUIERE una JOYA de ORO BLANCO|l a tS i k a k i e r e u n a x o jj a d e o r o b l a n k o
shd054|En ESTA ZONA, el AIRE es MUY PURO|e n e s t a T o n a e l a i r e e s m u i p u r o
shd055|METIÓ un CLAVO en la TABLA para TAPAR el HUECO|m e t i o u n k l a b o e n l a t a b l a p a r a t a p a r e l g u e k o
shd056|AYER VINO un NUEVO HUÉSPED al HOTEL|a jj e r b i n o u n n u e b o g u e s p e d a l o t e l
shd057|La HUELLA de SANGRE MOSTRÓ el RASTRO al HOMBRE|l a g u e L a d e s a n g r e m o s t r o e l rr a s t r o a l o m b r e
shd058|La MUJER se PUDO PONER de PIE otra VEZ|l a m u x e r s e p u d o p o n e r d e p i e o t r a b e T
shd059|TOMÓ la RUTA MÁS LARGA a su CASA|t o m o l a rr u t a m a s l a r g a a s u k a s a
shd060|La CHICA del CINE VENDIÓ CINCO BONOS|l a tS i k a d e l T i n e b e n d i o T i n k o b o n o s
shd061|Una GRIETA en la PRESA CASI CAUSÓ DAÑOS|u n a g r i e t a e n l a p r e s a k a s i k a u s o d a J o s
shd062|SIEMPRE DICE a los DEMÁS lo que DEBEN HACER|s i e m p r e d i T e a l o s d e m a s l o k e d e b e n a T e r
shd063|ELLOS QUIEREN, pero NO se HACEN RICOS|e L o s k i e r e n p e r o n o s e a T e n rr i k o s
shd064|El COJÍN del SOFÁ es de TELA ROJA y SUAVE|e l k o x i n d e l s o f a e s d e t e l a rr o x a i s u a b e
shd065|El HOMBRE VINO de ARAR el CAMPO de TRIGO|e l o m b r e b i n o d e a r a r e l k a m p o d e t r i g o
shd066|NUESTROS PLANES NO SON MALOS|n u e s t r o s p l a n e s n o s o n m a l o s
shd067|La PLAYA se SECA si BAJA MUCHO el AGUA|l a p l a jj a s e s e k a s i b a x a m u tS o e l a g u a
shd068|PIDIÓ OTRO LIBRO de ARTE en la TIENDA|p i d i o o t r o l i b r o d e a r t e e n l a t i e n d a
shd069|El HOMBRE ALTO LOGRÓ una BUENA MARCA|e l o m b r e a l t o l o g r o u n a b u e n a m a r k a
shd070|El TUBO de LATÓN CUBRE la VALLA de HIERRO|e l t u b o d e l a t o n k u b r e l a b a L a d e jj e rr o
shd071|CORTÓ la LOSA de GRANDES BLOQUES de PIEDRA|k o r t o l a l o s a d e g r a n d e s b l o k e s d e p i e d r a
shd072|Le DIO a la VIEJA MULA con un PALO CORTO|l e d i o a l a b i e x a m u l a k o n u n p a l o k o r t o
shd073|HAY MUCHAS FORMAS de HACER las COSAS|a i m u tS a s f o r m a s d e a T e r l a s k o s a s
shd074|VENDA su RELOJ a ALGUIEN a BUEN PRECIO|b e n d a s u rr e l o x a a l g i e n a b u e n p r e T i o
shd075|NUEVE HOMBRES CAVAN en las RUINAS del FORTÍN|n u e b e o m b r e s k a b a n e n l a s rr u i n a s d e l f o r t i n
shd076|El CAER de la LLUVIA HACE un GRATO RUIDO|e l k a e r d e l a L u b i a a T e u n g r a t o rr u i d o
shd077|HAY PINZAS DENTRO del CUBO de HIELO|a i p i n T a s d e n t r o d e l k u b o d e jj e l o
shd078|TOME la OTRA SENDA para LLEGAR al LAGO|t o m e l a o t r a s e n d a p a r a L e g a r a l l a g o
shd079|El PRIMER AÑO de VIDA PASA PRONTO|e l p r i m e r a J o d e b i d a p a s a p r o n t o
shd080|ESTE MES se PESCA en la COSTA del NORTE|e s t e m e s s e p e s k a e n l a k o s t a d e l n o r t e
shd081|NO PUEDO LEER su MALA LETRA|n o p u e d o l e e r s u m a l a l e t r a
shd082|PIDE el FONDO de RENTA al BANCO PRONTO|p i d e e l f o n d o d e rr e n t a a l b a n k o p r o n t o
shd083|El LAGO BRILLA bajo el VIVO SOL de JUNIO|e l l a g o b r i L a b a x o e l b i b o s o l d e x u n i o
shd084|VIERON los DAÑOS del CHOQUE en el CASCO del BARCO|b i e r o n l o s d a J o s d e l tS o k e e n e l k a s k o d e l b a r k o
shd085|La MESA ESTÁ LLENA de TELAS ROJAS|l a m e s a e s t a L e n a d e t e l a s rr o x a s
shd086|El HOMBRE CAMBIÓ su YEGUA por un BUEY PARDO|e l o m b r e k a m b i o s u jj e g u a p o r u n b u e i p a r d o
shd087|TAPA la PUERTA con TELAS de LANA GRUESA|t a p a l a p u e r t a k o n t e l a s d e l a n a g r u e s a
shd088|El AUTOR de CUENTOS para NIÑOS TAMBIÉN es PINTOR|e l a u t o r d e k u e n t o s p a r a n i J o s t a m b i e n e s p i n t o r
shd089|El MEJOR GUISO se HACE con CARNE de CERDO|e l m e x o r g i s o s e a T e k o n k a r n e d e T e r d o
shd090|QUITA el DOS cuando SUMES VARIAS CIFRAS|k i t a e l d o s k u a n d o s u m e s b a r i a s T i f r a s
shd091|VETE YA y VUELVE MÁS TARDE|b e t e jj a i b u e l b e m a s t a r d e
shd092|HAY que PONER un CLAVO en la PUERTA del SALÓN|a i k e p o n e r u n k l a b o e n l a p u e r t a d e l s a l o n
shd093|YA TENGO el LÁPIZ AZUL en la MANO|jj a t e n g o e l l a p i T a T u l e n l a m a n o
shd094|LLENA tu BOLSA con TODAS las COSAS para GUARDAR|L e n a t u b o l s a k o n t o d a s l a s k o s a s p a r a g u a r d a r
shd095|HAZ las CUENTAS de la TIENDA al FINAL del DÍA|a T l a s k u e n t a s d e l a t i e n d a a l f i n a l d e l d i a
shd096|El NUEVO CURSO IRÁ MUCHO MEJOR|e l n u e b o k u r s o i r a m u tS o m e x o r
shd097|COGIÓ el HACHA NUEVA y MARCHÓ al BOSQUE|k o x i o e l a tS a n u e b a i m a r tS o a l b o s k e
shd098|DIJO la MISMA FRASE TREINTA VECES|d i x o l a m i s m a f r a s e t r e i n t a b e T e s
shd099|El GATO NEGRO CRIÓ al PERRO con sus HIJOS|e l g a t o n e g r o k r i o a l p e rr o k o n s u s i x o s
shd100|CRÍA POLLOS DENTRO de un CERCO de METAL|k r i a p o L o s d e n t r o d e u n T e r k o d e m e t a l
shd101|HAZLO ANTES de que el NIÑO PUEDA VERLO|a T l o a n t e s d e k e e l n i J o p u e d a b e r l o
shd102|GIRE en la CALLE MAYOR para LLEGAR a la PLAZA|x i r e e n l a k a L e m a jj o r p a r a L e g a r a l a p l a T a
shd103|Un SOPLO de AIRE FRESCO VIENE BIEN|u n s o p l o d e a i r e f r e s k o b i e n e b i e n
shd104|El COCHE GRIS VA MARCHA ATRÁS|e l k o tS e g r i s b a m a r tS a a t r a s
shd105|El RATÓN ESTÁ DENTRO del MONTÓN de HOJAS|e l rr a t o n e s t a d e n t r o d e l m o n t o n d e o x a s
shd106|El CAUCE del GRAN RÍO es MUY ANCHO|e l k a u T e d e l g r a n rr i o e s m u i a n tS o
shd107|HOY HAZ TRES LISTAS para las COMPRAS|o i a T t r e s l i s t a s p a r a l a s k o m p r a s
shd108|GUARDE los DATOS en LIMPIO en una NUEVA NOTA|g u a r d e l o s d a t o s e n l i m p i o e n u n a n u e b a n o t a
shd109|Se PUEDE VER el MUELLE desde la OTRA PLAYA|s e p u e d e b e r e l m u e L e d e s d e l a o t r a p l a jj a
shd110|El CASO fue CRUEL para el HOMBRE VIEJO y SABIO|e l k a s o f u e k r u e l p a r a e l o m b r e b i e x o i s a b i o
shd111|HIZO una BRECHA en la FINA PLACA de METAL|i T o u n a b r e tS a e n l a f i n a p l a k a d e m e t a l
shd112|PUSO CONTRA la PARED la SILLA de LONA|p u s o k o n t r a l a p a r e d l a s i L a d e l o n a
shd113|QUEMAR CARBÓN nos DA CALOR en la CASA|k e m a r k a r b o n n o s d a k a l o r e n l a k a s a
shd114|HAY un FRASCO ALTO de PIE en el SUELO|a i u n f r a s k o a l t o d e p i e e n e l s u e l o
shd115|ESTAS FRASES HACEN DAÑO a la GENTE|e s t a s f r a s e s a T e n d a J o a l a x e n t e
shd116|A su CUELLO LARGO le QUEDA BIEN el COLLAR|a s u k u e L o l a r g o l e k e d a b i e n e l k o L a r
shd117|GIRÓ la BICI por DETRÁS del OTRO PUENTE|x i r o l a b i T i p o r d e t r a s d e l o t r o p u e n t e
shd118|La ROPA y el HOTEL son GRATIS para los HOMBRES NUEVOS|l a rr o p a i e l o t e l s o n g r a t i s p a r a l o s o m b r e s n u e b o s
shd119|El HOMBRE se GANÓ una BUENA PAGA AYER|e l o m b r e s e g a n o u n a b u e n a p a g a a jj e r
shd120|En el MUNDO HAY MUCHO RUIDO y ESTRÉS|e n e l m u n d o a i m u tS o rr u i d o i e s t r e s
shd121|Los FRENOS del CAMIÓN ECHAN HUMO BLANCO|l o s f r e n o s d e l k a m i o n e tS a n u m o b l a n k o
shd122|El ROBLE es FUERTE y TAMBIÉN DA SOMBRA|e l rr o b l e e s f u e r t e i t a m b i e n d a s o m b r a
shd123|El POLVO BLANCO HIZO una MANCHA en la ROPA|e l p o l b o b l a n k o i T o u n a m a n tS a e n l a rr o p a
shd124|Un GRUPO de CHICOS SALIÓ de la TIENDA AYER|u n g r u p o d e tS i k o s s a l i o d e l a t i e n d a a jj e r
shd125|Las JUNTAS se SECAN por TANTO SOL y CALOR|l a s x u n t a s s e s e k a n p o r t a n t o s o l i k a l o r
shd126|La LLUVIA FRÍA SIGUIÓ TODA la TARDE|l a L u b i a f r i a s i g i o t o d a l a t a r d e
shd127|El PASTEL de CARNE es un PLATO que se SIRVE a los NIÑOS|e l p a s t e l d e k a r n e e s u n p l a t o k e s e s i r b e a l o s n i J o s
